Water Use (m³),Outside Temperature (°C),Precipitation (mm),Date,Year
0.5,9.10 C,0.00 mm,2023-02-13,2023
0.5,9.20 C,0.00 mm,2023-02-14,2023
0.5,15.00 C,0.60 mm,2023-02-15,2023
1.0,5.50 C,4.60 mm,2023-02-16,2023
1.0,0.20 C,6.00 mm,2023-02-17,2023
1.0,1.70 C,0.00 mm,2023-02-18,2023
1.5,9.70 C,0.00 mm,2023-02-19,2023
1.5,5.30 C,0.00 mm,2023-02-20,2023
0.5,6.80 C,0.00 mm,2023-02-21,2023
1.0,-1.30 C,17.20 mm,2023-02-22,2023
1.5,-0.80 C,1.60 mm,2023-02-23,2023
0.5,-2.70 C,0.00 mm,2023-02-24,2023
1.5,-2.40 C,2.50 mm,2023-02-25,2023
0.5,2.30 C,0.00 mm,2023-02-26,2023
1.0,-0.10 C,7.40 mm,2023-02-27,2023
1.5,1.70 C,1.60 mm,2023-02-28,2023
0.5,2.90 C,0.00 mm,2023-03-01,2023
1.0,3.80 C,0.00 mm,2023-03-02,2023
1.0,0.40 C,18.60 mm,2023-03-03,2023
1.5,5.80 C,6.00 mm,2023-03-04,2023
1.0,5.00 C,0.60 mm,2023-03-05,2023
1.0,3.20 C,0.00 mm,2023-03-06,2023
1.0,1.80 C,0.00 mm,2023-03-07,2023
0.5,0.90 C,0.00 mm,2023-03-08,2023
1.0,2.80 C,0.00 mm,2023-03-09,2023
1.0,0.00 C,7.20 mm,2023-03-10,2023
1.0,-0.60 C,0.40 mm,2023-03-11,2023
1.0,-0.20 C,3.00 mm,2023-03-12,2023
0.5,0.80 C,2.20 mm,2023-03-13,2023
1.0,-1.00 C,0.00 mm,2023-03-14,2023
1.0,4.70 C,0.00 mm,2023-03-15,2023
0.5,9.70 C,3.20 mm,2023-03-16,2023
1.0,8.20 C,5.60 mm,2023-03-17,2023
0.5,1.20 C,2.00 mm,2023-03-18,2023
0.5,1.00 C,0.00 mm,2023-03-19,2023
0.5,7.20 C,0.00 mm,2023-03-20,2023
1.0,10.00 C,0.00 mm,2023-03-21,2023
0.5,6.30 C,0.00 mm,2023-03-22,2023
0.5,8.60 C,6.80 mm,2023-03-23,2023
0.5,6.00 C,0.00 mm,2023-03-24,2023
1.0,9.10 C,19.60 mm,2023-03-25,2023
0.5,,,2023-03-26,2023
0.5,4.40 C,1.80 mm,2023-03-27,2023
1.0,6.40 C,0.00 mm,2023-03-28,2023
0.5,9.10 C,1.80 mm,2023-03-29,2023
1.0,4.20 C,0.00 mm,2023-03-30,2023
0.5,4.90 C,11.20 mm,2023-03-31,2023
0.5,14.60 C,17.20 mm,2023-04-01,2023
1.5,3.60 C,0.00 mm,2023-04-02,2023
1.0,14.10 C,0.00 mm,2023-04-03,2023
0.5,10.90 C,1.80 mm,2023-04-04,2023
1.0,15.00 C,24.40 mm,2023-04-05,2023
1.0,14.50 C,0.00 mm,2023-04-06,2023
1.0,6.50 C,0.00 mm,2023-04-07,2023
1.0,6.40 C,0.00 mm,2023-04-08,2023
1.0,10.60 C,0.00 mm,2023-04-09,2023
1.0,20.30 C,0.00 mm,2023-04-10,2023
1.0,23.80 C,0.00 mm,2023-04-11,2023
1.0,26.70 C,0.00 mm,2023-04-12,2023
1.0,29.40 C,0.00 mm,2023-04-13,2023
1.0,26.90 C,0.00 mm,2023-04-14,2023
1.0,24.10 C,0.00 mm,2023-04-15,2023
1.0,24.50 C,2.80 mm,2023-04-16,2023
1.0,9.30 C,1.20 mm,2023-04-17,2023
1.0,5.70 C,0.60 mm,2023-04-18,2023
1.5,9.60 C,0.00 mm,2023-04-19,2023
1.5,10.40 C,0.40 mm,2023-04-20,2023
1.5,20.60 C,3.40 mm,2023-04-21,2023
1.5,11.40 C,23.40 mm,2023-04-22,2023
1.0,8.30 C,0.20 mm,2023-04-23,2023
1.5,9.40 C,0.00 mm,2023-04-24,2023
1.0,11.30 C,0.00 mm,2023-04-25,2023
1.0,9.10 C,0.40 mm,2023-04-26,2023
1.5,12.40 C,0.00 mm,2023-04-27,2023
1.0,12.60 C,9.80 mm,2023-04-28,2023
1.0,10.30 C,3.40 mm,2023-04-29,2023
1.5,11.30 C,12.80 mm,2023-04-30,2023
1.0,10.60 C,2.80 mm,2023-05-01,2023
1.5,6.90 C,9.20 mm,2023-05-02,2023
1.5,11.10 C,6.20 mm,2023-05-03,2023
0.5,11.10 C,0.00 mm,2023-05-04,2023
1.5,14.50 C,0.20 mm,2023-05-05,2023
1.5,17.90 C,0.00 mm,2023-05-06,2023
1.5,16.30 C,11.00 mm,2023-05-07,2023
1.0,19.60 C,0.00 mm,2023-05-08,2023
1.5,15.90 C,0.00 mm,2023-05-09,2023
1.0,21.40 C,0.00 mm,2023-05-10,2023
1.5,26.60 C,0.00 mm,2023-05-11,2023
1.5,28.40 C,0.00 mm,2023-05-12,2023
1.5,23.30 C,0.00 mm,2023-05-13,2023
1.5,17.80 C,0.00 mm,2023-05-14,2023
1.0,22.80 C,0.00 mm,2023-05-15,2023
1.0,24.00 C,0.00 mm,2023-05-16,2023
1.0,11.50 C,0.00 mm,2023-05-17,2023
1.0,14.30 C,0.00 mm,2023-05-18,2023
1.5,22.20 C,15.40 mm,2023-05-19,2023
1.5,16.60 C,14.00 mm,2023-05-20,2023
1.5,24.10 C,0.00 mm,2023-05-21,2023
1.0,16.50 C,0.00 mm,2023-05-22,2023
1.0,20.40 C,0.00 mm,2023-05-23,2023
1.5,17.00 C,0.00 mm,2023-05-24,2023
1.0,16.40 C,0.00 mm,2023-05-25,2023
1.0,20.20 C,0.00 mm,2023-05-26,2023
1.5,23.50 C,0.00 mm,2023-05-27,2023
1.5,27.80 C,0.00 mm,2023-05-28,2023
1.5,24.90 C,0.00 mm,2023-05-29,2023
1.0,27.20 C,0.00 mm,2023-05-30,2023
1.5,30.50 C,0.00 mm,2023-05-31,2023
1.0,30.90 C,0.00 mm,2023-06-01,2023
1.5,32.30 C,0.60 mm,2023-06-02,2023
1.0,22.10 C,0.00 mm,2023-06-03,2023
1.5,20.50 C,0.00 mm,2023-06-04,2023
1.5,24.90 C,0.00 mm,2023-06-05,2023
2.0,23.30 C,0.00 mm,2023-06-06,2023
1.5,21.30 C,0.00 mm,2023-06-07,2023
1.5,19.10 C,0.60 mm,2023-06-08,2023
1.0,22.10 C,3.60 mm,2023-06-09,2023
2.0,27.30 C,0.00 mm,2023-06-10,2023
1.5,23.10 C,10.20 mm,2023-06-11,2023
1.0,18.80 C,31.00 mm,2023-06-12,2023
1.0,19.90 C,4.00 mm,2023-06-13,2023
2.0,20.60 C,0.00 mm,2023-06-14,2023
1.5,21.30 C,2.20 mm,2023-06-15,2023
2.0,23.40 C,0.00 mm,2023-06-16,2023
2.0,25.40 C,0.00 mm,2023-06-17,2023
1.0,25.20 C,0.00 mm,2023-06-18,2023
1.5,25.00 C,0.00 mm,2023-06-19,2023
1.5,26.00 C,0.00 mm,2023-06-20,2023
1.5,27.10 C,0.00 mm,2023-06-21,2023
2.5,25.40 C,0.00 mm,2023-06-22,2023
1.5,24.70 C,5.20 mm,2023-06-23,2023
1.0,26.60 C,0.60 mm,2023-06-24,2023
2.0,28.10 C,10.20 mm,2023-06-25,2023
1.0,23.40 C,27.20 mm,2023-06-26,2023
1.0,23.50 C,11.80 mm,2023-06-27,2023
1.0,23.80 C,0.00 mm,2023-06-28,2023
1.0,25.60 C,0.00 mm,2023-06-29,2023
2.0,25.50 C,0.80 mm,2023-06-30,2023
1.5,28.50 C,5.40 mm,2023-07-01,2023
1.5,23.50 C,1.80 mm,2023-07-02,2023
2.0,26.00 C,1.20 mm,2023-07-03,2023
0.5,30.70 C,0.00 mm,2023-07-04,2023
1.0,31.40 C,0.00 mm,2023-07-05,2023
0.5,29.80 C,4.60 mm,2023-07-06,2023
1.0,26.20 C,0.00 mm,2023-07-07,2023
1.0,25.10 C,0.80 mm,2023-07-08,2023
1.0,25.50 C,0.00 mm,2023-07-09,2023
2.0,28.90 C,0.00 mm,2023-07-10,2023
1.5,30.20 C,2.00 mm,2023-07-11,2023
1.5,26.00 C,0.20 mm,2023-07-12,2023
2.0,24.00 C,24.60 mm,2023-07-13,2023
1.0,25.60 C,0.00 mm,2023-07-14,2023
1.5,25.00 C,11.00 mm,2023-07-15,2023
1.0,27.80 C,0.60 mm,2023-07-16,2023
1.5,26.90 C,1.00 mm,2023-07-17,2023
1.0,26.10 C,0.00 mm,2023-07-18,2023
1.5,26.00 C,0.00 mm,2023-07-19,2023
1.5,27.30 C,1.20 mm,2023-07-20,2023
2.0,26.00 C,0.00 mm,2023-07-21,2023
1.5,28.10 C,0.00 mm,2023-07-22,2023
2.0,27.00 C,3.60 mm,2023-07-23,2023
1.5,28.20 C,0.40 mm,2023-07-24,2023
2.0,27.30 C,5.20 mm,2023-07-25,2023
1.0,30.80 C,8.80 mm,2023-07-26,2023
1.5,29.60 C,13.80 mm,2023-07-27,2023
1.5,31.20 C,0.00 mm,2023-07-28,2023
1.5,24.60 C,17.60 mm,2023-07-29,2023
1.5,24.10 C,0.00 mm,2023-07-30,2023
2.0,24.20 C,0.00 mm,2023-07-31,2023
1.5,24.00 C,0.00 mm,2023-08-01,2023
1.5,24.60 C,0.00 mm,2023-08-02,2023
2.0,29.20 C,2.60 mm,2023-08-03,2023
1.5,27.20 C,0.00 mm,2023-08-04,2023
1.5,24.70 C,0.00 mm,2023-08-05,2023
1.0,25.10 C,7.00 mm,2023-08-06,2023
2.0,25.80 C,7.60 mm,2023-08-07,2023
1.5,26.00 C,0.00 mm,2023-08-08,2023
1.5,28.80 C,0.00 mm,2023-08-09,2023
2.0,25.90 C,0.20 mm,2023-08-10,2023
2.0,25.60 C,0.00 mm,2023-08-11,2023
2.5,29.50 C,1.20 mm,2023-08-12,2023
2.0,26.00 C,0.00 mm,2023-08-13,2023
3.5,23.70 C,0.00 mm,2023-08-14,2023
2.0,22.70 C,6.60 mm,2023-08-15,2023
2.5,27.30 C,0.00 mm,2023-08-16,2023
3.5,26.50 C,11.40 mm,2023-08-17,2023
3.0,20.00 C,0.00 mm,2023-08-18,2023
2.5,25.10 C,0.00 mm,2023-08-19,2023
3.0,29.30 C,0.00 mm,2023-08-20,2023
2.5,24.60 C,0.00 mm,2023-08-21,2023
1.0,24.30 C,0.00 mm,2023-08-22,2023
1.5,20.20 C,4.60 mm,2023-08-23,2023
2.0,22.40 C,9.20 mm,2023-08-24,2023
2.0,24.30 C,0.00 mm,2023-08-25,2023
2.5,23.80 C,4.60 mm,2023-08-26,2023
1.5,22.60 C,0.00 mm,2023-08-27,2023
2.5,22.80 C,0.00 mm,2023-08-28,2023
3.0,23.90 C,4.20 mm,2023-08-29,2023
2.0,20.00 C,0.00 mm,2023-08-30,2023
2.5,22.30 C,0.00 mm,2023-08-31,2023
2.5,23.70 C,0.00 mm,2023-09-01,2023
2.0,26.20 C,0.20 mm,2023-09-02,2023
1.0,31.80 C,0.00 mm,2023-09-03,2023
2.0,34.00 C,0.00 mm,2023-09-04,2023
2.5,33.10 C,0.00 mm,2023-09-05,2023
2.0,31.90 C,0.00 mm,2023-09-06,2023
2.5,29.00 C,3.00 mm,2023-09-07,2023
3.0,20.50 C,0.00 mm,2023-09-08,2023
2.0,20.10 C,0.00 mm,2023-09-09,2023
2.0,22.90 C,0.00 mm,2023-09-10,2023
2.5,24.60 C,0.00 mm,2023-09-11,2023
2.0,23.10 C,6.20 mm,2023-09-12,2023
1.5,19.30 C,0.00 mm,2023-09-13,2023
2.0,20.00 C,0.00 mm,2023-09-14,2023
2.5,20.50 C,0.00 mm,2023-09-15,2023
2.5,24.10 C,0.00 mm,2023-09-16,2023
2.5,23.60 C,0.00 mm,2023-09-17,2023
1.5,21.90 C,0.00 mm,2023-09-18,2023
1.5,20.90 C,0.00 mm,2023-09-19,2023
2.0,21.10 C,0.00 mm,2023-09-20,2023
1.5,22.20 C,0.00 mm,2023-09-21,2023
2.0,22.30 C,0.00 mm,2023-09-22,2023
2.0,22.40 C,0.00 mm,2023-09-23,2023
2.0,22.80 C,0.00 mm,2023-09-24,2023
1.5,24.40 C,0.00 mm,2023-09-25,2023
1.5,20.30 C,0.00 mm,2023-09-26,2023
2.0,20.30 C,0.00 mm,2023-09-27,2023
1.5,18.80 C,0.80 mm,2023-09-28,2023
1.5,21.40 C,1.00 mm,2023-09-29,2023
4.0,23.20 C,0.00 mm,2023-09-30,2023
3.0,26.90 C,0.00 mm,2023-10-01,2023
2.0,27.30 C,0.00 mm,2023-10-02,2023
3.5,30.40 C,0.00 mm,2023-10-03,2023
2.0,27.90 C,0.00 mm,2023-10-04,2023
1.5,25.90 C,6.40 mm,2023-10-05,2023
1.0,23.10 C,6.80 mm,2023-10-06,2023
2.0,15.10 C,0.60 mm,2023-10-07,2023
2.0,11.10 C,1.40 mm,2023-10-08,2023
1.0,11.40 C,0.00 mm,2023-10-09,2023
1.5,13.60 C,3.20 mm,2023-10-10,2023
1.5,16.30 C,0.00 mm,2023-10-11,2023
1.0,16.00 C,0.00 mm,2023-10-12,2023
1.5,14.90 C,0.00 mm,2023-10-13,2023
1.0,13.60 C,0.00 mm,2023-10-14,2023
1.5,10.60 C,0.00 mm,2023-10-15,2023
1.0,13.20 C,0.00 mm,2023-10-16,2023
2.0,15.90 C,0.00 mm,2023-10-17,2023
1.0,14.70 C,0.00 mm,2023-10-18,2023
1.0,16.80 C,0.20 mm,2023-10-19,2023
1.5,14.40 C,4.40 mm,2023-10-20,2023
1.5,12.30 C,0.60 mm,2023-10-21,2023
1.5,11.40 C,0.80 mm,2023-10-22,2023
1.5,14.20 C,0.00 mm,2023-10-23,2023
1.0,20.50 C,0.00 mm,2023-10-24,2023
1.0,20.80 C,1.60 mm,2023-10-25,2023
1.5,19.00 C,6.60 mm,2023-10-26,2023
1.0,23.30 C,0.00 mm,2023-10-27,2023
2.0,18.90 C,0.20 mm,2023-10-28,2023
2.0,7.40 C,2.90 mm,2023-10-29,2023
0.5,6.90 C,4.40 mm,2023-10-30,2023
2.0,6.60 C,0.00 mm,2023-10-31,2023
1.0,5.80 C,0.00 mm,2023-11-01,2023
1.5,10.90 C,0.00 mm,2023-11-02,2023
1.0,15.60 C,0.00 mm,2023-11-03,2023
1.5,11.00 C,2.60 mm,2023-11-04,2023
1.5,10.40 C,0.00 mm,2023-11-05,2023
1.0,13.40 C,4.80 mm,2023-11-06,2023
1.5,13.00 C,0.00 mm,2023-11-07,2023
1.0,3.70 C,20.40 mm,2023-11-08,2023
1.5,11.60 C,3.60 mm,2023-11-09,2023
1.5,11.20 C,0.00 mm,2023-11-10,2023
1.0,3.60 C,0.00 mm,2023-11-11,2023
2.5,5.30 C,0.00 mm,2023-11-12,2023
1.5,14.50 C,0.00 mm,2023-11-13,2023
1.5,9.50 C,0.00 mm,2023-11-14,2023
1.5,14.90 C,0.00 mm,2023-11-15,2023
2.0,12.00 C,0.00 mm,2023-11-16,2023
1.5,14.50 C,1.00 mm,2023-11-17,2023
1.5,8.90 C,0.00 mm,2023-11-18,2023
1.5,7.00 C,0.40 mm,2023-11-19,2023
1.5,1.70 C,0.00 mm,2023-11-20,2023
2.0,5.70 C,11.40 mm,2023-11-21,2023
1.0,7.30 C,2.20 mm,2023-11-22,2023
1.5,7.30 C,0.00 mm,2023-11-23,2023
1.0,0.90 C,0.00 mm,2023-11-24,2023
1.5,3.90 C,0.00 mm,2023-11-25,2023
1.5,6.40 C,6.60 mm,2023-11-26,2023
1.5,3.30 C,0.40 mm,2023-11-27,2023
1.5,-0.90 C,0.40 mm,2023-11-28,2023
2.0,0.40 C,0.40 mm,2023-11-29,2023
1.0,10.40 C,0.00 mm,2023-11-30,2023
1.0,9.10 C,9.50 mm,2023-12-01,2023
1.5,3.10 C,4.40 mm,2023-12-02,2023
1.0,3.00 C,3.40 mm,2023-12-03,2023
1.5,3.30 C,0.00 mm,2023-12-04,2023
1.5,2.50 C,0.60 mm,2023-12-05,2023
2.0,0.50 C,0.00 mm,2023-12-06,2023
1.0,4.50 C,4.80 mm,2023-12-07,2023
1.5,7.60 C,0.00 mm,2023-12-08,2023
2.0,13.10 C,6.60 mm,2023-12-09,2023
1.0,9.90 C,0.80 mm,2023-12-10,2023
1.5,2.70 C,0.00 mm,2023-12-11,2023
1.0,5.60 C,0.00 mm,2023-12-12,2023
1.5,3.10 C,0.00 mm,2023-12-13,2023
1.5,5.40 C,0.00 mm,2023-12-14,2023
1.0,12.70 C,0.00 mm,2023-12-15,2023
1.5,6.70 C,0.40 mm,2023-12-16,2023
1.5,7.10 C,10.90 mm,2023-12-17,2023
1.0,6.40 C,1.80 mm,2023-12-18,2023
2.0,-0.70 C,0.20 mm,2023-12-19,2023
1.5,3.80 C,0.00 mm,2023-12-20,2023
1.5,2.30 C,0.00 mm,2023-12-21,2023
1.0,0.60 C,0.00 mm,2023-12-22,2023
1.5,4.30 C,7.70 mm,2023-12-23,2023
1.5,4.70 C,0.00 mm,2023-12-24,2023
1.0,6.80 C,0.00 mm,2023-12-25,2023
1.5,7.40 C,2.60 mm,2023-12-26,2023
1.0,8.20 C,13.70 mm,2023-12-27,2023
1.0,7.70 C,5.50 mm,2023-12-28,2023
1.5,6.40 C,5.00 mm,2023-12-29,2023
1.0,1.30 C,0.00 mm,2023-12-30,2023
2.0,,,2023-12-31,2023
