Water Use (m³),Outside Temperature (°C),Precipitation (mm),Date,Year
1.5,28.90 C,0.00 mm,2020-08-13,2020
0.5,28.60 C,0.00 mm,2020-08-14,2020
1.5,27.90 C,0.00 mm,2020-08-15,2020
1.0,25.80 C,1.00 mm,2020-08-16,2020
1.5,27.40 C,4.80 mm,2020-08-17,2020
2.0,25.00 C,0.80 mm,2020-08-18,2020
1.0,23.70 C,0.00 mm,2020-08-19,2020
1.0,27.60 C,0.00 mm,2020-08-20,2020
2.5,30.60 C,0.00 mm,2020-08-21,2020
1.5,31.10 C,0.00 mm,2020-08-22,2020
1.5,31.70 C,0.00 mm,2020-08-23,2020
1.0,32.70 C,0.00 mm,2020-08-24,2020
1.0,28.00 C,0.00 mm,2020-08-25,2020
0.5,21.20 C,4.40 mm,2020-08-26,2020
1.5,30.20 C,0.00 mm,2020-08-27,2020
2.5,24.00 C,0.20 mm,2020-08-28,2020
1.5,27.00 C,1.80 mm,2020-08-29,2020
1.0,23.70 C,0.00 mm,2020-08-30,2020
1.0,25.20 C,0.00 mm,2020-08-31,2020
0.5,28.10 C,10.40 mm,2020-09-01,2020
0.5,28.30 C,1.60 mm,2020-09-02,2020
1.5,28.60 C,2.00 mm,2020-09-03,2020
0.5,23.00 C,0.20 mm,2020-09-04,2020
1.5,21.10 C,0.00 mm,2020-09-05,2020
3.5,22.00 C,0.00 mm,2020-09-06,2020
0.5,25.20 C,5.20 mm,2020-09-07,2020
1.0,16.50 C,0.00 mm,2020-09-08,2020
0.5,18.50 C,0.00 mm,2020-09-09,2020
1.0,19.80 C,0.00 mm,2020-09-10,2020
0.5,17.60 C,0.00 mm,2020-09-11,2020
1.0,21.40 C,0.00 mm,2020-09-12,2020
1.0,26.10 C,3.80 mm,2020-09-13,2020
0.5,17.50 C,0.00 mm,2020-09-14,2020
1.0,19.80 C,0.00 mm,2020-09-15,2020
0.5,25.40 C,0.00 mm,2020-09-16,2020
1.5,19.20 C,0.00 mm,2020-09-17,2020
0.5,15.90 C,0.00 mm,2020-09-18,2020
1.0,14.40 C,0.00 mm,2020-09-19,2020
1.0,16.80 C,0.00 mm,2020-09-20,2020
0.5,19.50 C,0.00 mm,2020-09-21,2020
0.5,21.50 C,0.00 mm,2020-09-22,2020
1.0,27.60 C,0.00 mm,2020-09-23,2020
0.5,25.10 C,2.00 mm,2020-09-24,2020
1.0,24.40 C,0.00 mm,2020-09-25,2020
1.0,25.90 C,0.00 mm,2020-09-26,2020
1.0,27.20 C,0.00 mm,2020-09-27,2020
0.5,26.70 C,8.40 mm,2020-09-28,2020
1.0,19.00 C,2.20 mm,2020-09-29,2020
0.5,19.00 C,5.00 mm,2020-09-30,2020
0.5,17.90 C,0.00 mm,2020-10-01,2020
1.5,15.50 C,0.00 mm,2020-10-02,2020
0.5,13.00 C,4.00 mm,2020-10-03,2020
1.0,11.40 C,3.20 mm,2020-10-04,2020
1.0,15.10 C,0.00 mm,2020-10-05,2020
1.0,19.50 C,0.00 mm,2020-10-06,2020
1.5,18.50 C,2.60 mm,2020-10-07,2020
2.5,16.50 C,0.80 mm,2020-10-08,2020
0.5,18.30 C,0.00 mm,2020-10-09,2020
0.5,22.10 C,0.40 mm,2020-10-10,2020
0.5,11.70 C,0.00 mm,2020-10-11,2020
1.0,16.40 C,0.20 mm,2020-10-12,2020
0.5,18.00 C,7.80 mm,2020-10-13,2020
1.0,17.40 C,0.00 mm,2020-10-14,2020
0.5,17.20 C,11.60 mm,2020-10-15,2020
1.0,12.20 C,0.00 mm,2020-10-16,2020
0.5,13.50 C,0.00 mm,2020-10-17,2020
0.5,14.20 C,2.00 mm,2020-10-18,2020
