Date,Usage TOU off-peak (kWh),Usage TOU mid-peak (kWh),Usage TOU on-peak (kWh),Usage tier 1 (kWh),Usage tier 2 (kWh),Usage ULO overnight (kWh),Usage ULO off-peak (kWh),Usage ULO mid-peak (kWh),Usage ULO on-peak (kWh),Cost TOU off-peak ($),Cost TOU mid-peak ($),Cost TOU on-peak ($),Cost tier 1 ($),Cost tier 2 ($),Cost ULO overnight ($),Cost ULO off-peak ($),Cost ULO mid-peak ($),Cost ULO on-peak ($),Average temperature (C)
2022-05-03,10.82,2.18,3.19,,,,,,,0.89,0.25,0.54,,,,,,,
2022-05-04,7.88,4.27,6.04,,,,,,,0.65,0.48,1.03,,,,,,,12.0
2022-05-05,9.82,3.59,2.98,,,,,,,0.81,0.41,0.51,,,,,,,10.0
2022-05-06,11.53,5.36,8.69,,,,,,,0.95,0.61,1.48,,,,,,,13.0
2022-05-07,19.5,0.0,0.0,,,,,,,1.6,0.0,0.0,,,,,,,10.0
2022-05-08,20.53,0.0,0.0,,,,,,,1.68,0.0,0.0,,,,,,,11.0
2022-05-09,9.43,3.56,8.9,,,,,,,0.77,0.4,1.51,,,,,,,12.0
2022-05-10,13.15,4.34,6.51,,,,,,,1.08,0.49,1.11,,,,,,,15.0
2022-05-11,15.91,6.94,6.02,,,,,,,1.3,0.78,1.02,,,,,,,17.0
2022-05-12,9.65,7.23,10.47,,,,,,,0.79,0.82,1.78,,,,,,,19.0
2022-05-13,9.1,4.52,9.59,,,,,,,0.75,0.51,1.63,,,,,,,20.0
2022-05-14,26.97,0.0,0.0,,,,,,,2.21,0.0,0.0,,,,,,,21.0
2022-05-15,28.8,0.0,0.0,,,,,,,2.36,0.0,0.0,,,,,,,22.0
2022-05-16,12.45,6.01,13.39,,,,,,,1.02,0.68,2.28,,,,,,,
2022-05-17,13.98,6.64,10.4,,,,,,,1.15,0.75,1.77,,,,,,,12.0
2022-05-18,16.36,7.03,10.21,,,,,,,1.34,0.79,1.74,,,,,,,10.0
2022-05-19,18.54,6.1,9.53,,,,,,,1.52,0.69,1.62,,,,,,,16.0
2022-05-20,21.82,10.03,10.43,,,,,,,1.79,1.13,1.77,,,,,,,18.0
2022-05-21,27.28,0.0,0.0,,,,,,,2.24,0.0,0.0,,,,,,,23.0
2022-05-22,25.25,0.0,0.0,,,,,,,2.07,0.0,0.0,,,,,,,13.0
2022-05-23,33.38,0.0,0.0,,,,,,,2.74,0.0,0.0,,,,,,,12.0
2022-05-24,26.46,9.03,5.46,,,,,,,2.17,1.02,0.93,,,,,,,13.0
2022-05-25,19.75,10.67,10.2,,,,,,,1.62,1.21,1.73,,,,,,,15.0
2022-05-26,21.77,5.51,8.61,,,,,,,1.79,0.62,1.46,,,,,,,20.0
2022-05-27,12.27,6.97,7.3,,,,,,,1.01,0.79,1.24,,,,,,,20.0
2022-05-28,44.03,0.0,0.0,,,,,,,3.61,0.0,0.0,,,,,,,18.0
2022-05-29,34.35,0.0,0.0,,,,,,,2.82,0.0,0.0,,,,,,,19.0
2022-05-30,9.45,4.16,8.78,,,,,,,0.77,0.47,1.49,,,,,,,24.0
2022-05-31,10.12,4.5,10.05,,,,,,,0.83,0.51,1.71,,,,,,,27.0
2022-06-01,10.95,5.54,6.61,,,,,,,0.9,0.63,1.12,,,,,,,19.0
2022-06-02,11.05,5.05,7.75,,,,,,,0.91,0.57,1.32,,,,,,,16.0
2022-06-03,10.96,5.71,6.71,,,,,,,0.9,0.65,1.14,,,,,,,17.0
2022-06-04,29.71,0.0,0.0,,,,,,,2.44,0.0,0.0,,,,,,,14.0
2022-06-05,30.33,0.0,0.0,,,,,,,2.49,0.0,0.0,,,,,,,18.0
2022-06-06,16.78,4.27,6.64,,,,,,,1.38,0.48,1.13,,,,,,,18.0
2022-06-07,21.6,7.06,9.61,,,,,,,1.77,0.8,1.63,,,,,,,17.0
2022-06-08,10.22,5.2,11.95,,,,,,,0.84,0.59,2.03,,,,,,,16.0
2022-06-09,14.59,5.67,5.24,,,,,,,1.2,0.64,0.89,,,,,,,17.0
2022-06-10,12.86,6.74,6.31,,,,,,,1.05,0.76,1.07,,,,,,,17.0
2022-06-11,21.93,0.0,0.0,,,,,,,1.8,0.0,0.0,,,,,,,19.0
2022-06-12,29.8,0.0,0.0,,,,,,,2.44,0.0,0.0,,,,,,,19.0
2022-06-13,19.1,7.03,7.54,,,,,,,1.57,0.79,1.28,,,,,,,17.0
2022-06-14,10.89,4.94,4.84,,,,,,,0.89,0.56,0.82,,,,,,,21.0
2022-06-15,13.95,4.62,8.73,,,,,,,1.14,0.52,1.48,,,,,,,22.0
2022-06-16,10.42,4.73,7.25,,,,,,,0.85,0.53,1.23,,,,,,,26.0
2022-06-17,9.37,4.2,6.16,,,,,,,0.77,0.47,1.05,,,,,,,20.0
2022-06-18,29.42,0.0,0.0,,,,,,,2.41,0.0,0.0,,,,,,,15.0
2022-06-19,26.58,0.0,0.0,,,,,,,2.18,0.0,0.0,,,,,,,17.0
2022-06-20,12.68,4.03,10.49,,,,,,,1.04,0.46,1.78,,,,,,,20.0
2022-06-21,13.1,6.55,6.62,,,,,,,1.07,0.74,1.13,,,,,,,26.0
2022-06-22,8.67,4.7,11.41,,,,,,,0.71,0.53,1.94,,,,,,,27.0
2022-06-23,10.5,4.27,8.07,,,,,,,0.86,0.48,1.37,,,,,,,22.0
2022-06-24,10.1,6.55,5.51,,,,,,,0.83,0.74,0.94,,,,,,,21.0
2022-06-25,19.93,0.0,0.0,,,,,,,1.63,0.0,0.0,,,,,,,25.0
2022-06-26,28.26,0.0,0.0,,,,,,,2.32,0.0,0.0,,,,,,,25.0
2022-06-27,10.93,4.01,4.29,,,,,,,0.9,0.45,0.73,,,,,,,17.0
2022-06-28,16.88,5.53,4.41,,,,,,,1.38,0.62,0.75,,,,,,,18.0
2022-06-29,15.59,5.25,11.05,,,,,,,1.28,0.59,1.88,,,,,,,20.0
2022-06-30,14.25,8.03,7.73,,,,,,,1.17,0.91,1.31,,,,,,,21.0
2022-07-01,19.72,0.0,0.0,,,,,,,1.62,0.0,0.0,,,,,,,25.0
2022-07-02,20.54,0.0,0.0,,,,,,,1.68,0.0,0.0,,,,,,,22.0
2022-07-03,23.19,0.0,0.0,,,,,,,1.9,0.0,0.0,,,,,,,21.0
2022-07-04,11.6,6.9,17.22,,,,,,,0.95,0.78,2.93,,,,,,,21.0
2022-07-05,12.45,5.1,6.11,,,,,,,1.02,0.58,1.04,,,,,,,23.0
2022-07-06,15.92,7.27,10.63,,,,,,,1.31,0.82,1.81,,,,,,,20.0
2022-07-07,10.59,4.12,7.18,,,,,,,0.87,0.47,1.22,,,,,,,20.0
